gindex,player,pos,team,points,p10,p90,sd,games,health_environment_delta,health_floor_delta,role_system_ceiling_lift,role_sd_lift,team_uncertainty_lift,league_scheme_delta,neutral_context_delta,target_share,rush_share,goal_line_share,role_margin,target_hhi,rush_hhi,coach_proe,pace_multiplier,new_coach,roster_continuity,contingent_gain,behind,volume_ratio,td_dependence,health_ratio
269,Bhayshul Tuten,RB,JAX,129.5751,61.042103,205.53795,58.855324,15.03,7.8359985,4.304043,26.773224,27.29731,-8.400772,-0.28024292,-7.4861145,0.0513919830471314,0.4074057079971261,0.3577947505761253,0.0661490359330958,0.1307967789733061,0.2971758028990063,0.0050748646142557,1.0038287251237363,False,0.398236092265943,,,1.99737811088562,1.1287729879078892,1.0813332796096802
5,James Conner,RB,ARI,129.13213,58.69946,213.47464,65.26179,12.082,34.229187,25.55325,30.093155,24.61298,-3.1593933,-1.8093414,5.5744247,0.0707543997461209,0.3737863979812998,0.3398798460089008,0.1315230290003058,0.1354945388129577,0.2518147078530476,0.0128423720766785,1.0057299991686912,False,0.4367641169403284,,,2.2853747606277466,1.0614624982910486,1.1370078325271606
440,Cam Skattebo,RB,NYG,128.8288,55.784893,220.99889,65.762085,13.596,21.81755,10.649044,45.3369,30.086899,-4.1352234,2.6710968,-2.9147034,0.0764057876465642,0.3375789722587355,0.3736569715011748,-0.0316068288436584,0.1219595036765839,0.3114201937567469,-0.0379548155758191,1.0186691515658644,True,0.8426877470355731,,,2.093312680721283,1.4384992305942044,1.1174743175506592
566,Cade Otton,TE,TB,127.593124,63.178806,198.29045,56.6752,15.616,3.5268707,-0.5918999,30.503265,27.47155,-8.378937,1.1259613,0.65836334,0.1497173420970528,0.001004713594486,7.848352730345654e-05,0.116501655260877,0.1326599254096101,0.3682656615316566,0.0102168002781305,1.019087608186837,False,0.8724547057880391,,,1.4758222699165344,0.9436470577829597,1.0524295568466189
281,Brenton Strange,TE,JAX,126.29549,62.29518,204.32785,58.495464,14.912,13.601883,8.200798,34.29303,25.441578,-5.2368927,-2.8934631,-2.8861084,0.1357669148454913,0.0007036554843007,5.3134806633119426e-05,0.0971727896708117,0.1307967789733061,0.2971758028990063,0.0050748646142557,1.0038287251237363,False,0.398236092265943,,,1.8583559393882751,0.7463074249153386,1.0737265348434448
369,Malik Washington,WR,MIA,126.21725,54.900417,205.88539,61.32454,15.048,5.961357,7.11121,46.482803,32.481983,3.4552155,-1.2101593,2.3323288,0.1479010511113865,0.0266179933578994,0.0085866209953268,0.0221250247235493,0.1040702857040609,0.3603501687453079,0.0,1.0,True,0.6645047716112295,,,2.1079291105270386,1.166082900407525,1.034704327583313
104,Luther Burden III,WR,CHI,125.05895,67.41259,191.44885,53.236298,15.026,3.2080154,4.677788,27.793106,22.530317,2.0053864,-2.6339264,-3.3084183,0.129054486872582,0.0115190892908342,0.0023001471992135,-0.0850931039438639,0.1187327241791947,0.3771973638719102,-0.0095964423250418,0.9918297047940632,False,0.3963857924253964,,,1.9409354329109192,1.3656513445900904,1.0559167861938477
85,Jalen Coker,WR,CAR,124.465385,57.031002,202.40356,58.9709,13.67,17.8097,13.944431,34.535583,24.333035,-2.0486603,-4.3476334,-4.2891617,0.1324711630205758,0.0025004927595207,0.0003066038973901,-0.0877691811909629,0.1164321224601814,0.3295758613119898,-0.0085329743414401,1.0246330030709965,False,0.4680851063829787,,,1.9139039516448977,0.965296210087954,1.0793200731277466
446,Darius Slayton,WR,NYG,124.357315,59.097717,197.82289,56.350956,15.042,-3.5976105,3.1850014,35.944427,24.91174,0.7611847,-11.579559,-14.825836,0.1412613669786172,0.0026234272219011,0.0003108811552926,-0.0882958370609543,0.1219595036765839,0.3114201937567469,-0.0379548155758191,1.0186691515658644,True,0.8426877470355731,15.93866729736328,Malik Nabers,1.8042446970939636,1.1044807991542045,1.0614378452301023
181,Troy Franklin,WR,DEN,122.1704,56.9207,201.55441,58.35497,15.474,-1.3731155,-0.9750252,39.694427,29.166302,-8.264587,1.6689911,3.1940079,0.1251113959196033,0.0084323674466464,0.0016659355052505,-0.0809933747116267,0.1079177124440923,0.3367956731608758,0.0081475376106117,0.9982335282057712,False,0.519899785254116,,,1.9651995301246643,1.0996460874797551,1.0750000476837158
580,Calvin Ridley,WR,TEN,121.60907,57.92411,203.38963,56.73418,14.118,11.741409,6.4757385,41.168716,23.961739,3.8773956,6.5431137,1.2636032,0.1520149766236727,0.0096798587763449,0.0018215635599061,0.0027158724323499,0.1057068842222317,0.3941290958894349,0.0262375072255626,0.9953117372204984,True,0.3920977877248859,,,2.1110416650772095,0.881420014940678,1.1009817123413086
42,Justice Hill,RB,BAL,121.59598,53.244194,208.47218,66.84208,14.996,1.0764923,-4.663185,52.174347,37.247585,4.2100525,0.57949066,9.969772,0.0881169722240669,0.1540170958207365,0.0618226291418552,-0.5469567062528395,0.1380117918492103,0.5190721554036205,0.0,1.0,True,0.3649811726734803,,,2.3169801235198975,1.1740438658962706,1.0704606771469116
579,Wan'Dale Robinson,WR,TEN,120.49267,58.74715,198.96324,57.094044,14.256,14.680168,6.8459206,43.291473,25.710154,4.0955963,4.470093,1.2883072,0.1492991041913228,0.0059774117200545,0.0012320643741352,-0.0027158724323499,0.1057068842222317,0.3941290958894349,0.0262375072255626,0.9953117372204984,True,0.3920977877248859,,,2.1481189727783203,0.834617259483606,1.0568336248397827
528,AJ Barner,TE,SEA,120.47653,57.790516,198.79637,54.613754,15.88,-0.40423584,2.6869545,48.437668,28.531921,10.538101,-2.6831665,1.5386658,0.1194226248600927,0.013034111436155,0.0205402957665174,0.060197686466131,0.1405985830746451,0.285522936462633,0.0033032852808487,1.01255678174596,False,0.4815431383902721,,,2.091840445995331,1.2973340359163612,1.0072991847991943
376,Greg Dulcich,TE,MIA,119.25807,54.530704,189.73189,55.90027,13.402,22.496765,17.460484,26.897812,19.782059,-7.3204803,-1.5274734,1.8451843,0.1409047870483001,0.0024658938549599,0.0239797641271755,0.0885107771999042,0.1040702857040609,0.3603501687453079,0.0,1.0,True,0.6645047716112295,,,1.877444088459015,1.491994627644013,1.1428571939468384
99,Kyle Monangai,RB,CHI,119.21567,54.8823,190.9462,56.051407,15.488,-0.8187485,-1.2813721,33.691147,26.8372,5.00473,3.305809,6.8236923,0.0523933284461201,0.3069675624666674,0.2797822952138289,-0.2139665990168485,0.1187327241791947,0.3771973638719102,-0.0095964423250418,0.9918297047940632,False,0.3963857924253964,,,1.9820222854614256,1.0597313021549817,1.03152596950531
540,Mike Evans,WR,SF,118.93606,58.563663,186.63168,55.05456,13.622,16.99398,8.24226,27.02887,22.558285,1.2463379,-5.2201614,0.8560715,0.1511890609817491,0.003875552643296,0.0006231446258892,-0.0162712554064876,0.1395776308512003,0.4150714957788185,-0.0020939941264897,1.0311013569435277,False,0.3954033084467867,,,1.8063652515411377,0.7992082698415945,1.1162123680114746
409,Kayshon Boutte,WR,NE,117.938354,57.817818,190.58441,55.249752,14.948,3.7735138,0.6159134,41.4832,27.29752,9.6888275,-3.1970673,-1.694725,0.1110379979463841,0.0014043050903427,0.0001281839059792,-0.0758391798137989,0.1236389624959372,0.3638319989225167,-0.0165720935212336,1.0201499901873752,False,0.4355281666555027,,,1.8537917137145996,0.987165941770458,1.0581241846084597
523,Cooper Kupp,WR,SEA,117.609276,50.986294,195.2006,59.873222,13.046,19.819328,13.088291,32.95575,22.882648,4.22052,-2.8634872,3.1576614,0.1501806725493569,0.0044762502680422,0.0005679649404896,-0.1152246710283459,0.1405985830746451,0.285522936462633,0.0033032852808487,1.01255678174596,False,0.4815431383902721,,,2.35400527715683,0.9550645540403896,1.13373863697052
194,Isiah Pacheco,RB,DET,117.245056,42.821033,202.25299,65.5438,13.228,22.519974,14.907284,39.114517,30.551998,0.43199158,-0.37031555,11.63102,0.0400933937002242,0.3423192987475543,0.2693102665476967,-0.1843965500893997,0.1499231916251425,0.3977798292692783,0.0050952669213471,1.0006848662147716,False,0.4286541483993713,,,2.5588263273239136,1.1159216418958666,1.110144853591919
270,Chris Rodriguez Jr.,RB,JAX,116.15174,54.214546,183.80406,53.158546,14.694,3.2679749,3.011486,24.934128,21.293026,1.3322296,2.3773346,-4.094345,0.0286273669796564,0.3412566720640303,0.4420460959197371,-0.0661490359330958,0.1307967789733061,0.2971758028990063,0.0050748646142557,1.0038287251237363,False,0.398236092265943,,,2.053670048713684,0.9621611646958662,1.0480519533157349
